;Total;Schweizer/-innen;Ausländer/-innen;"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt; 434 736; 295 333; 139 403;  32.1
Kreis 1; 5 831; 4 042; 1 789;  30.7
Kreis 2; 35 552; 24 033; 11 519;  32.4
Kreis 3; 50 756; 35 865; 14 891;  29.3
Kreis 4; 29 034; 18 544; 10 490;  36.1
Kreis 5; 15 622; 10 610; 5 012;  32.1
Kreis 6; 35 317; 25 278; 10 039;  28.4
Kreis 7; 38 629; 27 687; 10 942;  28.3
Kreis 8; 17 456; 11 081; 6 375;  36.5
Kreis 9; 56 462; 38 319; 18 143;  32.1
Kreis 10; 41 044; 30 410; 10 634;  25.9
Kreis 11; 76 188; 48 337; 27 851;  36.6
Kreis 12; 32 845; 21 127; 11 718;  35.7